Reactant_B,Reactant_C,SMILES of the product,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,Cc1cc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)ccc1C(=O)N1CCCC1,100,100
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,FC(F)(F)c1ccc(Oc2ccc(-c3cccc4c3Oc3ccccc3S4)cc2)nc1,100,100
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,Cc1nc2c(F)cc(-c3ccc(Oc4ccc(C(F)(F)F)cn4)cc3)cc2n1C(C)C,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,FC(F)(F)c1ccc(Oc2ccc(-c3cccc4c3sc3ccccc34)cc2)nc1,99.4,92.3
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,C=C(c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(F)(F)F,74.7,59
OB(c1c[n](-c2ccccc2)nc1)O,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,FC(F)(F)c1ccc(Oc2ccc(-c3cnn(-c4ccccc4)c3)cc2)nc1,75.3,30.3
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,N#Cc1cc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)ccc1OC1CCOCC1,100,100
OCc1c(B(O)O)cc(F)cc1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,OCc1ccc(F)cc1-c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,100,100
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,CC(=O)Oc1ccc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,FC(F)(F)c1ccc(Oc2ccc(-c3cnc4ccccc4c3)cc2)nc1,96.5,98
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,FC(F)(F)c1ccc(Oc2ccc(C3=Cc4ccccc4C3)cc2)nc1,0,0
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,FC(F)(F)c1ccc(Oc2ccc(-c3scc4c3OCCO4)cc2)nc1,0,0
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,CC(C)(C)OC(=O)N1CCCC1c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,O=c1cccc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,Cc1ccc2cn[nH]c2c1-c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,0,0
COc1c(B(O)O)c(C2CC2)ncn1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,COc1ncnc(C2CC2)c1-c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,16.9,56.3
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,COc1ccc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)cn1,97.4,97.8
O=Cc1cc(B(O)O)ccc1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,O=Cc1cccc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)c1,100,100
O=Cc1ccc(B2OCCCO2)cc1,FC(c1cnc(Oc2ccc(Br)cc2)cc1)(F)F,O=Cc1ccc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)cc1,93.7,100
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Cc1c(Br)[n]2c(ncc2)cc1,Cc1cc(-c2c(C)ccc3nccn23)ccc1C(=O)N1CCCC1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1ccc(-c2nc3ccccc3o2)cc1,94.3,77.4
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cccc2c1Oc1ccccc1S2,18.3,24.1
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cc(F)c2nc(C)n(C(C)C)c2c1,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cccc2c1sc1ccccc12,84.5,60
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Cc1c(Br)[n]2c(ncc2)cc1,C=C(c1c(C)ccc2nccn12)C(F)(F)F,25.7,51.3
OB(c1c[n](-c2ccccc2)nc1)O,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cnn(-c2ccccc2)c1,59.2,33.3
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1ccc(OC2CCOCC2)c(C#N)c1,81.2,48.7
OCc1c(B(O)O)cc(F)cc1,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cc(F)ccc1CO,0,4.7
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Cc1c(Br)[n]2c(ncc2)cc1,CC(=O)Oc1ccc(-c2c(C)ccc3nccn23)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cnc2ccccc2c1,93.8,42.9
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1C1=Cc2ccccc2C1,95.6,65
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1scc2c1OCCO2,49.2,20.3
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1C1CCCN1C(=O)OC(C)(C)C,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2cn[nH]c2c1-c1c(C)ccc2nccn12,0,0
COc1c(B(O)O)c(C2CC2)ncn1,Cc1c(Br)[n]2c(ncc2)cc1,COc1ncnc(C2CC2)c1-c1c(C)ccc2nccn12,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Cc1c(Br)[n]2c(ncc2)cc1,COc1ccc(-c2c(C)ccc3nccn23)cn1,88.3,64.6
O=Cc1cc(B(O)O)ccc1,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1cccc(C=O)c1,93.2,59.6
O=Cc1ccc(B2OCCCO2)cc1,Cc1c(Br)[n]2c(ncc2)cc1,Cc1ccc2nccn2c1-c1ccc(C=O)cc1,96.4,60.1
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Nc1c(Br)cccn1,Cc1cc(-c2cccnc2N)ccc1C(=O)N1CCCC1,97,74.9
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Nc1c(Br)cccn1,Nc1ncccc1-c1ccc(-c2nc3ccccc3o2)cc1,96.8,72
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Nc1c(Br)cccn1,Nc1ncccc1-c1cccc2c1Oc1ccccc1S2,93.2,56.6
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Nc1c(Br)cccn1,Cc1nc2c(F)cc(-c3cccnc3N)cc2n1C(C)C,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,Nc1c(Br)cccn1,Nc1ncccc1-c1cccc2c1sc1ccccc12,98.8,75.5
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Nc1c(Br)cccn1,C=C(c1cccnc1N)C(F)(F)F,16,22.2
OB(c1c[n](-c2ccccc2)nc1)O,Nc1c(Br)cccn1,Nc1ncccc1-c1cnn(-c2ccccc2)c1,92.2,45.6
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Nc1c(Br)cccn1,N#Cc1cc(-c2cccnc2N)ccc1OC1CCOCC1,97,62.1
OCc1c(B(O)O)cc(F)cc1,Nc1c(Br)cccn1,Nc1ncccc1-c1cc(F)ccc1CO,0,0
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Nc1c(Br)cccn1,CC(=O)Oc1ccc(-c2cccnc2N)cc1C(F)(F)F,91.2,37.2
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Nc1c(Br)cccn1,Nc1ncccc1-c1cnc2ccccc2c1,38,54.2
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Nc1c(Br)cccn1,Nc1ncccc1C1=Cc2ccccc2C1,96.1,67.1
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Nc1c(Br)cccn1,Nc1ncccc1-c1scc2c1OCCO2,73,25.7
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Nc1c(Br)cccn1,CC(C)(C)OC(=O)N1CCCC1c1cccnc1N,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Nc1c(Br)cccn1,Nc1ncccc1-c1cccc(=O)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Nc1c(Br)cccn1,Cc1ccc2cn[nH]c2c1-c1cccnc1N,0,0
COc1c(B(O)O)c(C2CC2)ncn1,Nc1c(Br)cccn1,COc1ncnc(C2CC2)c1-c1cccnc1N,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Nc1c(Br)cccn1,COc1ccc(-c2cccnc2N)cn1,44.6,50.4
O=Cc1cc(B(O)O)ccc1,Nc1c(Br)cccn1,Nc1ncccc1-c1cccc(C=O)c1,48.7,47.4
O=Cc1ccc(B2OCCCO2)cc1,Nc1c(Br)cccn1,Nc1ncccc1-c1ccc(C=O)cc1,52,41.5
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,C12C(I)=NNC=1CCC2,Cc1cc(-c2n[nH]c3c2CCC3)ccc1C(=O)N1CCCC1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,C12C(I)=NNC=1CCC2,c1ccc2oc(-c3ccc(-c4n[nH]c5c4CCC5)cc3)nc2c1,59.1,14.4
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,C12C(I)=NNC=1CCC2,c1ccc2c(c1)Oc1c(cccc1-c1n[nH]c3c1CCC3)S2,86.4,17.8
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,C12C(I)=NNC=1CCC2,Cc1nc2c(F)cc(-c3n[nH]c4c3CCC4)cc2n1C(C)C,85.1,49.4
OB(c1c2sc3c(c2ccc1)cccc3)O,C12C(I)=NNC=1CCC2,c1ccc2c(c1)sc1c(-c3n[nH]c4c3CCC4)cccc12,94.6,35.3
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,C12C(I)=NNC=1CCC2,C=C(c1n[nH]c2c1CCC2)C(F)(F)F,13.4,13
OB(c1c[n](-c2ccccc2)nc1)O,C12C(I)=NNC=1CCC2,c1ccc(-n2cc(-c3n[nH]c4c3CCC4)cn2)cc1,86.8,36.5
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,C12C(I)=NNC=1CCC2,N#Cc1cc(-c2n[nH]c3c2CCC3)ccc1OC1CCOCC1,100,100
OCc1c(B(O)O)cc(F)cc1,C12C(I)=NNC=1CCC2,OCc1ccc(F)cc1-c1n[nH]c2c1CCC2,91.9,41.8
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,C12C(I)=NNC=1CCC2,CC(=O)Oc1ccc(-c2n[nH]c3c2CCC3)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,C12C(I)=NNC=1CCC2,c1ccc2ncc(-c3n[nH]c4c3CCC4)cc2c1,100,41.3
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,C12C(I)=NNC=1CCC2,C1=C(c2n[nH]c3c2CCC3)Cc2ccccc21,100,81.5
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,C12C(I)=NNC=1CCC2,c1sc(-c2n[nH]c3c2CCC3)c2c1OCCO2,30.1,10.1
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,C12C(I)=NNC=1CCC2,CC(C)(C)OC(=O)N1CCCC1c1n[nH]c2c1CCC2,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,C12C(I)=NNC=1CCC2,O=c1cccc(-c2n[nH]c3c2CCC3)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,C12C(I)=NNC=1CCC2,Cc1ccc2cn[nH]c2c1-c1n[nH]c2c1CCC2,60.8,9.5
COc1c(B(O)O)c(C2CC2)ncn1,C12C(I)=NNC=1CCC2,COc1ncnc(C2CC2)c1-c1n[nH]c2c1CCC2,69.3,18
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,C12C(I)=NNC=1CCC2,COc1ccc(-c2n[nH]c3c2CCC3)cn1,100,100
O=Cc1cc(B(O)O)ccc1,C12C(I)=NNC=1CCC2,O=Cc1cccc(-c2n[nH]c3c2CCC3)c1,96.5,90.7
O=Cc1ccc(B2OCCCO2)cc1,C12C(I)=NNC=1CCC2,O=Cc1ccc(-c2n[nH]c3c2CCC3)cc1,99.4,91.7
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3ccc(C(=O)N4CCCC4)c(C)c3)c([N+](=O)[O-])cc2o1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3ccc(-c4nc5ccccc5o4)cc3)c([N+](=O)[O-])cc2o1,0,0
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cccc4c3Oc3ccccc3S4)c([N+](=O)[O-])cc2o1,0,0
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cc(F)c4nc(C)n(C(C)C)c4c3)c([N+](=O)[O-])cc2o1,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cccc4c3sc3ccccc34)c([N+](=O)[O-])cc2o1,0,0
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,C=C(c1cc2nc(C)oc2cc1[N+](=O)[O-])C(F)(F)F,0,0
OB(c1c[n](-c2ccccc2)nc1)O,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cnn(-c4ccccc4)c3)c([N+](=O)[O-])cc2o1,0,0
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3ccc(OC4CCOCC4)c(C#N)c3)c([N+](=O)[O-])cc2o1,0,0
OCc1c(B(O)O)cc(F)cc1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cc(F)ccc3CO)c([N+](=O)[O-])cc2o1,0,0
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,CC(=O)Oc1ccc(-c2cc3nc(C)oc3cc2[N+](=O)[O-])cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cnc4ccccc4c3)c([N+](=O)[O-])cc2o1,0,0
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(C3=Cc4ccccc4C3)c([N+](=O)[O-])cc2o1,0,0
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3scc4c3OCCO4)c([N+](=O)[O-])cc2o1,0,0
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(C3CCCN3C(=O)OC(C)(C)C)c([N+](=O)[O-])cc2o1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cccc(=O)[nH]3)c([N+](=O)[O-])cc2o1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3c(C)ccc4cn[nH]c34)c([N+](=O)[O-])cc2o1,0,0
COc1c(B(O)O)c(C2CC2)ncn1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,COc1ncnc(C2CC2)c1-c1cc2nc(C)oc2cc1[N+](=O)[O-],0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,COc1ccc(-c2cc3nc(C)oc3cc2[N+](=O)[O-])cn1,0,0
O=Cc1cc(B(O)O)ccc1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3cccc(C=O)c3)c([N+](=O)[O-])cc2o1,0,0
O=Cc1ccc(B2OCCCO2)cc1,Cc1oc2c(cc(c(c2)[N+]([O-])=O)Cl)n1,Cc1nc2cc(-c3ccc(C=O)cc3)c([N+](=O)[O-])cc2o1,0,0
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,CCCNS(Nc1c(-c2ccc(Br)cc2)c(OCCO)ncn1)(=O)=O,CCCNS(=O)(=O)Nc1ncnc(OCCO)c1-c1ccc(-c2ccc(C(=O)N3CCCC3)c(C)c2)cc1,0,0
